rundate,this_period,last_period,airport_cluster,rpt_apt_grp_cd,rpt_apt_grp_name,rpt_apt_name,total_pax_fw_tp,total_pax_fw_lp,total_pax_fw_pc,total_pax_rw_tp,total_pax_rw_lp,total_pax_rw_pc,total_atms_fw_tp,total_atms_fw_lp,total_atms_fw_pc,total_atms_rw_tp,total_atms_rw_lp,total_atms_rw_pc
4/20/2010 13:53,2008,2007,1,1,London Area Airports,GATWICK,34205887,35216239,-2.868994713,0,0,,256352,258921,-0.992194533,0,0,-0.992194533
4/20/2010 13:53,2008,2007,1,1,London Area Airports,HEATHROW,67054745,68066028,-1.485738277,0,0,,473207,475789,-0.542677522,0,0,-0.542677522
4/20/2010 13:53,2008,2007,1,1,London Area Airports,LONDON CITY,3260236,2912123,11.95392513,0,0,,84074,77274,8.799855232,0,0,8.799855232
4/20/2010 13:53,2008,2007,1,1,London Area Airports,LUTON,10180734,9927321,2.552682638,0,0,,85661,83319,2.810883522,0,0,2.810883522
4/20/2010 13:53,2008,2007,1,1,London Area Airports,SOUTHEND,44075,49311,-10.61832047,0,0,,869,878,-1.025056958,0,0,-1.025056958
4/20/2010 13:53,2008,2007,1,1,London Area Airports,STANSTED,22360364,23779697,-5.968675613,0,0,,177285,191522,-7.433610916,0,0,-7.433610916
4/20/2010 13:53,2008,2007,1,3,Other UK Airports,ABERDEEN,2771841,2892868,-4.183633804,519079,519389,-0.059685513,60769,63637,-4.506812096,39400,39198,-4.506812096
4/20/2010 13:53,2008,2007,1,3,Other UK Airports,BARRA,10705,10415,2.784445524,0,0,,1249,1176,6.207482815,0,0,6.207482815
4/20/2010 13:53,2008,2007,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),2570742,2186993,17.54687881,0,0,,40205,39925,0.701314986,0,0,0.701314986
4/20/2010 13:53,2008,2007,1,3,Other UK Airports,BELFAST INTERNATIONAL,5262354,5272664,-0.195536822,0,0,,53631,51805,3.524756193,0,0,3.524756193
4/20/2010 13:53,2008,2007,1,3,Other UK Airports,BENBECULA,33910,35607,-4.765916824,0,0,,2754,2857,-3.605180264,1,0,-3.605180264
4/20/2010 13:53,2008,2007,1,3,Other UK Airports,BIRMINGHAM,9627589,9226340,4.348950863,0,0,,102856,104481,-1.555306673,0,0,-1.555306673
4/20/2010 13:53,2008,2007,1,3,Other UK Airports,BLACKPOOL,424208,540567,-21.52536201,14992,17711,-15.35204124,5669,7304,-22.38499451,4961,5384,-22.38499451
4/20/2010 13:53,2008,2007,1,3,Other UK Airports,BOURNEMOUTH,1083446,1086900,-0.317784518,0,0,,11792,12186,-3.233218431,0,0,-3.233218431
4/20/2010 13:53,2008,2007,1,3,Other UK Airports,BRISTOL,6267114,5926774,5.742415905,0,0,,60068,58741,2.259069443,0,0,2.259069443
4/20/2010 13:53,2008,2007,1,3,Other UK Airports,CAMBRIDGE,1854,2151,-13.80753136,0,0,,41,69,-40.57971191,0,0,-40.57971191
4/20/2010 13:53,2008,2007,1,3,Other UK Airports,CAMPBELTOWN,9143,9181,-0.413898259,0,0,,978,972,0.61728394,0,0,0.61728394
4/20/2010 13:53,2008,2007,1,3,Other UK Airports,CARDIFF WALES,1994892,2111148,-5.506766796,0,0,,23481,23039,1.918485999,0,0,1.918485999
4/20/2010 13:53,2008,2007,1,3,Other UK Airports,CITY OF DERRY (EGLINTON),439033,427640,2.664156675,0,0,,5823,5733,1.56985867,0,0,1.56985867
4/20/2010 13:53,2008,2007,1,3,Other UK Airports,COVENTRY,331022,599149,-44.75130463,0,0,,4415,7496,-41.10192108,0,0,-41.10192108
4/20/2010 13:53,2008,2007,1,3,Other UK Airports,DONCASTER SHEFFIELD,968481,1078374,-10.19062042,0,0,,7426,8754,-15.17020798,0,0,-15.17020798
4/20/2010 13:53,2008,2007,1,3,Other UK Airports,DUNDEE,60939,65419,-6.848163605,0,0,,3644,3188,14.30363846,0,0,14.30363846
4/20/2010 13:53,2008,2007,1,3,Other UK Airports,DURHAM TEES VALLEY,656620,746939,-12.09188461,0,0,,9301,11254,-17.35383034,0,0,-17.35383034
4/20/2010 13:53,2008,2007,1,3,Other UK Airports,EAST MIDLANDS INTERNATIONAL,5620673,5413360,3.829654694,0,0,,66111,61496,7.504553318,0,0,7.504553318
4/20/2010 13:53,2008,2007,1,3,Other UK Airports,EDINBURGH,9006702,9047558,-0.451569349,0,0,,113535,115190,-1.436756611,0,0,-1.436756611
4/20/2010 13:53,2008,2007,1,3,Other UK Airports,EXETER,956251,1024812,-6.690104961,0,0,,15066,16825,-10.45468044,0,0,-10.45468044
4/20/2010 13:53,2008,2007,1,3,Other UK Airports,GLASGOW,8178891,8795653,-7.012123108,0,0,,86647,93668,-7.495622635,0,0,-7.495622635
4/20/2010 13:53,2008,2007,1,3,Other UK Airports,GLOUCESTERSHIRE,20156,5359,276.1149597,0,0,,1652,452,265.4867249,0,0,265.4867249
4/20/2010 13:53,2008,2007,1,3,Other UK Airports,HUMBERSIDE,384647,424659,-9.422147751,43022,43863,-1.917333484,5850,6104,-4.161205769,7110,7386,-4.161205769
4/20/2010 13:53,2008,2007,1,3,Other UK Airports,INVERNESS,678621,703391,-3.52151227,155,17,811.7647095,13526,15052,-10.13818741,11,2,-10.13818741
4/20/2010 13:53,2008,2007,1,3,Other UK Airports,ISLAY,29146,28483,2.327704191,0,3,,1477,1343,9.977662086,0,2,9.977662086
4/20/2010 13:53,2008,2007,1,3,Other UK Airports,KENT INTERNATIONAL,11657,16180,-27.95426369,0,0,,540,608,-11.18421078,0,0,-11.18421078
4/20/2010 13:53,2008,2007,1,3,Other UK Airports,KIRKWALL,149501,143921,3.877126932,7,333,-97.89789581,11184,10728,4.25055933,14,86,4.25055933
4/20/2010 13:53,2008,2007,1,3,Other UK Airports,LEEDS BRADFORD,2873321,2881539,-0.285194814,0,0,,37604,39603,-5.047597408,0,0,-5.047597408
4/20/2010 13:53,2008,2007,1,3,Other UK Airports,LERWICK (TINGWALL),4731,4984,-5.076243877,123,75,64,1481,1630,-9.141104698,64,37,-9.141104698
4/20/2010 13:53,2008,2007,1,3,Other UK Airports,LIVERPOOL,5334152,5468510,-2.456939936,0,0,,43708,45772,-4.509306908,0,0,-4.509306908
4/20/2010 13:53,2008,2007,1,3,Other UK Airports,LYDD,1673,2696,-37.94510269,0,0,,263,351,-25.07122421,0,0,-25.07122421
4/20/2010 13:53,2008,2007,1,3,Other UK Airports,MANCHESTER,21218995,22112625,-4.041265965,0,0,,191228,206503,-7.396986961,0,0,-7.396986961
4/20/2010 13:53,2008,2007,1,3,Other UK Airports,NEWCASTLE,5039993,5650716,-10.80788708,0,0,,54706,58395,-6.317321777,0,0,-6.317321777
4/20/2010 13:53,2008,2007,1,3,Other UK Airports,NEWQUAY,466448,376792,23.79455948,0,0,,12229,10262,19.16780281,0,0,19.16780281
4/20/2010 13:53,2008,2007,1,3,Other UK Airports,NORWICH,518485,637906,-18.72078323,64571,61482,5.024234772,10745,13354,-19.53721809,10061,9242,-19.53721809
4/20/2010 13:53,2008,2007,1,3,Other UK Airports,PRESTWICK,2415755,2422332,-0.27151522,0,0,,20397,20336,0.299960673,0,0,0.299960673
4/20/2010 13:53,2008,2007,1,3,Other UK Airports,SCATSTA,128702,133892,-3.876258373,114385,119013,-3.888650894,3245,3289,-1.337792635,7451,7980,-1.337792635
4/20/2010 13:53,2008,2007,1,3,Other UK Airports,SOUTHAMPTON,1945993,1965686,-1.001838565,0,0,,44525,47016,-5.298196316,0,0,-5.298196316
4/20/2010 13:53,2008,2007,1,3,Other UK Airports,STORNOWAY,131734,127759,3.111326694,18,9,100,7747,7413,4.505598068,37,16,4.505598068
4/20/2010 13:53,2008,2007,1,3,Other UK Airports,SUMBURGH,147856,141771,4.292132854,9092,8672,4.843173504,6873,6501,5.722196579,943,1102,5.722196579
4/20/2010 13:53,2008,2007,1,3,Other UK Airports,TIREE,8496,7807,8.82541275,0,0,,798,606,31.68316841,0,0,31.68316841
4/20/2010 13:53,2008,2007,1,3,Other UK Airports,WICK,23444,22647,3.519229889,362,288,25.69444466,1940,2045,-5.134474277,201,228,-5.134474277
4/20/2010 13:53,2008,2007,2,4,Non UK Reporting Airports,ALDERNEY,77104,79087,-2.507365227,0,0,,8541,9156,-6.716907024,0,0,-6.716907024
4/20/2010 13:53,2008,2007,2,4,Non UK Reporting Airports,GUERNSEY,945580,925183,2.204644918,0,0,,39655,38218,3.760008335,0,0,3.760008335
4/20/2010 13:53,2008,2007,2,4,Non UK Reporting Airports,ISLE OF MAN,754419,753894,0.069638439,0,0,,27929,30268,-7.727632999,0,0,-7.727632999
