rundate,this_period,last_period,airport_cluster,rpt_apt_grp_cd,rpt_apt_grp_name,rpt_apt_name,total_pax_fw_tp,total_pax_fw_lp,total_pax_fw_pc,total_pax_rw_tp,total_pax_rw_lp,total_pax_rw_pc,total_atms_fw_tp,total_atms_fw_lp,total_atms_fw_pc,total_atms_rw_tp,total_atms_rw_lp,total_atms_rw_pc
28/02/2007 12:45,2006,2005,,,London Area Airports,GATWICK,34163579,32775695,4.234491348,0,0,,254414,251953,0.976769447,0,0,0.976769447
28/02/2007 12:45,2006,2005,,,London Area Airports,HEATHROW,67527923,67913153,-0.567239165,0,0,,470891,472041,-0.243622899,0,0,-0.243622899
28/02/2007 12:45,2006,2005,,,London Area Airports,LONDON CITY,2358184,1996397,18.12199593,0,0,,66129,60693,8.956551552,0,0,8.956551552
28/02/2007 12:45,2006,2005,,,London Area Airports,LUTON,9425908,9147911,3.038912296,0,0,,78840,75424,4.529062271,0,0,4.529062271
28/02/2007 12:45,2006,2005,,,London Area Airports,SOUTHEND,30351,5133,491.2916565,0,0,,562,118,376.2711792,0,0,376.2711792
28/02/2007 12:45,2006,2005,,,London Area Airports,STANSTED,23687148,21998673,7.675349236,0,0,,189995,178012,6.731568813,0,0,6.731568813
28/02/2007 12:45,2006,2005,,,Other UK Airports,ABERDEEN,2674275,2423444,10.3501873,489767,430297,13.82068634,60464,55773,8.410880089,37399,33707,8.410880089
28/02/2007 12:45,2006,2005,,,Other UK Airports,BARRA,9808,9455,3.733474255,0,0,,1118,1089,2.66299367,0,0,2.66299367
28/02/2007 12:45,2006,2005,,,Other UK Airports,BELFAST CITY,2105769,2237219,-5.875598431,0,0,,36862,37298,-1.168963432,0,0,-1.168963432
28/02/2007 12:45,2006,2005,,,Other UK Airports,BELFAST INTERNATIONAL,5038692,4824271,4.444630146,0,0,,48212,47695,1.083971024,0,0,1.083971024
28/02/2007 12:45,2006,2005,,,Other UK Airports,BENBECULA,33954,31728,7.015884876,0,0,,2771,2694,2.858203411,0,0,2.858203411
28/02/2007 12:45,2006,2005,,,Other UK Airports,BIGGIN HILL,220,676,-67.45561981,0,0,,6,27,-77.77777863,0,0,-77.77777863
28/02/2007 12:45,2006,2005,,,Other UK Airports,BIRMINGHAM,9147384,9381425,-2.494727612,0,0,,108658,112963,-3.810982466,0,0,-3.810982466
