rundate,this_period,last_period,airport_cluster,rpt_apt_grp_cd,rpt_apt_grp_name,rpt_apt_name,total_pax_fw_tp,total_pax_fw_lp,total_pax_fw_pc,total_pax_rw_tp,total_pax_rw_lp,total_pax_rw_pc,total_atms_fw_tp,total_atms_fw_lp,total_atms_fw_pc,total_atms_rw_tp,total_atms_rw_lp,total_atms_rw_pc
14/03/2013 13:11,2012,2011,1,1,London Area Airports,GATWICK,34235982,33674264,1.668092847,0,0,,240447,244570,-1.68581593,0,0,-1.68581593
14/03/2013 13:11,2012,2011,1,1,London Area Airports,HEATHROW,70037417,69433230,0.870169818,0,0,,471382,476295,-1.031503558,0,0,-1.031503558
14/03/2013 13:11,2012,2011,1,1,London Area Airports,LONDON CITY,3016664,2992847,0.795797467,0,0,,64310,61064,5.315734386,0,0,5.315734386
14/03/2013 13:11,2012,2011,1,1,London Area Airports,LUTON,9617697,9513704,1.093086362,0,0,,71725,72138,-0.572513819,0,0,-0.572513819
14/03/2013 13:11,2012,2011,1,1,London Area Airports,SOUTHEND,617027,42439,1353.915039,0,0,,7268,1259,477.2835693,0,0,477.2835693
14/03/2013 13:11,2012,2011,1,1,London Area Airports,STANSTED,17472699,18052843,-3.213587999,0,0,,131297,136899,-4.092067719,0,0,-4.092067719
14/03/2013 13:11,2012,2011,1,3,Other UK Airports,ABERDEEN,2817287,2584490,9.007463455,512839,498326,2.912350655,62006,58542,5.917119503,36777,36254,5.917119503
14/03/2013 13:11,2012,2011,1,3,Other UK Airports,BARRA,11415,10482,8.90097332,0,0,,1254,1179,6.361323357,0,0,6.361323357
14/03/2013 13:11,2012,2011,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),2246202,2397312,-6.303309917,0,0,,35921,40556,-11.42864227,0,0,-11.42864227
14/03/2013 13:11,2012,2011,1,3,Other UK Airports,BELFAST INTERNATIONAL,4313685,4103620,5.119016647,0,0,,39120,37308,4.856867313,0,0,4.856867313
14/03/2013 13:11,2012,2011,1,3,Other UK Airports,BENBECULA,31364,34682,-9.566922188,0,0,,2420,2573,-5.94636631,0,0,-5.94636631
14/03/2013 13:11,2012,2011,1,3,Other UK Airports,BIRMINGHAM,8922539,8616296,3.554230213,0,0,,84062,83826,0.281535566,0,0,0.281535566
14/03/2013 13:11,2012,2011,1,3,Other UK Airports,BLACKPOOL,213577,220942,-3.333454132,21661,14740,46.95386887,4005,4093,-2.150012255,5602,4804,-2.150012255
14/03/2013 13:11,2012,2011,1,3,Other UK Airports,BOURNEMOUTH,692545,613755,12.83736992,0,0,,7182,6255,14.8201437,0,0,14.8201437
14/03/2013 13:11,2012,2011,1,3,Other UK Airports,BRISTOL,5921530,5780746,2.435395002,0,0,,50654,52670,-3.827605963,0,0,-3.827605963
14/03/2013 13:11,2012,2011,1,3,Other UK Airports,CAMBRIDGE,2130,597,256.783905,0,0,,63,10,530,0,0,530
14/03/2013 13:11,2012,2011,1,3,Other UK Airports,CAMPBELTOWN,9144,9387,-2.588686466,0,0,,953,963,-1.038421631,0,0,-1.038421631
14/03/2013 13:11,2012,2011,1,3,Other UK Airports,CARDIFF WALES,1028123,1222715,-15.91474724,0,0,,13965,16065,-13.0718956,0,0,-13.0718956
