rundate,this_period,last_period,airport_cluster,rpt_apt_grp_cd,rpt_apt_grp_name,rpt_apt_name,total_pax_fw_tp,total_pax_fw_lp,total_pax_fw_pc,total_pax_rw_tp,total_pax_rw_lp,total_pax_rw_pc,total_atms_fw_tp,total_atms_fw_lp,total_atms_fw_pc,total_atms_rw_tp,total_atms_rw_lp,total_atms_rw_pc
28/02/2012 16:00,2011,2010,1,1,London Area Airports,GATWICK,33674264,31375290,7.327339649,0,0,,244571,233553,4.717558861,0,0,4.717558861
28/02/2012 16:00,2011,2010,1,1,London Area Airports,HEATHROW,69433230,65881660,5.390832424,0,0,,476295,449271,6.015077591,0,0,6.015077591
28/02/2012 16:00,2011,2010,1,1,London Area Airports,LONDON CITY,2992847,2780582,7.633833408,0,0,,61064,59919,1.91091311,0,0,1.91091311
28/02/2012 16:00,2011,2010,1,1,London Area Airports,LUTON,9513704,8738712,8.868492126,0,0,,72138,68571,5.201907635,0,0,5.201907635
28/02/2012 16:00,2011,2010,1,1,London Area Airports,SOUTHEND,42439,3583,1084.454346,0,0,,1259,64,1867.1875,0,0,1867.1875
28/02/2012 16:00,2011,2010,1,1,London Area Airports,STANSTED,18052843,18573592,-2.803706408,0,0,,136899,142993,-4.261746883,0,0,-4.261746883
28/02/2012 16:00,2011,2010,1,3,Other UK Airports,ABERDEEN,2584490,2304925,12.12902832,498326,458783,8.619107246,58542,54532,7.353480339,36254,33418,7.353480339
28/02/2012 16:00,2011,2010,1,3,Other UK Airports,BARRA,10482,10192,2.845368862,0,0,,1179,1177,0.169923529,0,0,0.169923529
28/02/2012 16:00,2011,2010,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),2397312,2740341,-12.51774883,0,0,,40556,38702,4.790450096,0,0,4.790450096
28/02/2012 16:00,2011,2010,1,3,Other UK Airports,BELFAST INTERNATIONAL,4103620,4016170,2.177447557,0,0,,37308,39230,-4.899311543,0,0,-4.899311543
28/02/2012 16:00,2011,2010,1,3,Other UK Airports,BENBECULA,34682,30406,14.06301403,0,0,,2573,2555,0.704500973,0,0,0.704500973
28/02/2012 16:00,2011,2010,1,3,Other UK Airports,BIRMINGHAM,8616296,8572398,0.512085438,0,0,,83826,84790,-1.136926532,0,0,-1.136926532
28/02/2012 16:00,2011,2010,1,3,Other UK Airports,BLACKPOOL,220942,220430,0.232273281,14740,14910,-1.140174389,4093,4412,-7.230280876,4804,5177,-7.230280876
28/02/2012 16:00,2011,2010,1,3,Other UK Airports,BOURNEMOUTH,613755,751331,-18.31097031,0,0,,6255,7468,-16.24263573,0,0,-16.24263573
28/02/2012 16:00,2011,2010,1,3,Other UK Airports,BRISTOL,5780746,5747604,0.576622903,0,0,,52670,53788,-2.07853055,0,0,-2.07853055
28/02/2012 16:00,2011,2010,1,3,Other UK Airports,CAMBRIDGE,597,916,-34.82532883,0,0,,10,32,-68.75,0,0,-68.75
28/02/2012 16:00,2011,2010,1,3,Other UK Airports,CAMPBELTOWN,9387,8682,8.120248795,0,0,,963,910,5.824175835,0,0,5.824175835
28/02/2012 16:00,2011,2010,1,3,Other UK Airports,CARDIFF WALES,1222715,1404613,-12.95004368,0,0,,16065,17189,-6.539065838,0,0,-6.539065838
28/02/2012 16:00,2011,2010,1,3,Other UK Airports,CITY OF DERRY (EGLINTON),405697,339432,19.52231979,0,0,,3839,3848,-0.233887732,0,0,-0.233887732
28/02/2012 16:00,2011,2010,1,3,Other UK Airports,COVENTRY,0,0,,0,0,,196,0,,0,0,
28/02/2012 16:00,2011,2010,1,3,Other UK Airports,DONCASTER SHEFFIELD,822877,876153,-6.080673218,0,0,,5765,6926,-16.76292229,0,0,-16.76292229
28/02/2012 16:00,2011,2010,1,3,Other UK Airports,DUNDEE,61674,70398,-12.39239788,0,0,,2843,3646,-22.02413559,0,0,-22.02413559
28/02/2012 16:00,2011,2010,1,3,Other UK Airports,DURHAM TEES VALLEY,192410,226209,-14.94149208,0,0,,5119,5597,-8.540289879,0,0,-8.540289879
28/02/2012 16:00,2011,2010,1,3,Other UK Airports,EAST MIDLANDS INTERNATIONAL,4215192,4113501,2.472127676,0,0,,54413,52108,4.423504829,0,0,4.423504829
28/02/2012 16:00,2011,2010,1,3,Other UK Airports,EDINBURGH,9385245,8596715,9.172456741,0,0,,105118,100584,4.507675171,0,0,4.507675171
28/02/2012 16:00,2011,2010,1,3,Other UK Airports,EXETER,717693,744991,-3.664205313,1,0,,11942,12330,-3.146796465,1,0,-3.146796465
28/02/2012 16:00,2011,2010,1,3,Other UK Airports,GLASGOW,6880217,6548865,5.059685707,0,0,,69932,68871,1.540561318,0,0,1.540561318
