rundate,this_period,last_period,airport_cluster,rpt_apt_grp_cd,rpt_apt_grp_name,rpt_apt_name,total_pax_fw_tp,total_pax_fw_lp,total_pax_fw_pc,total_pax_rw_tp,total_pax_rw_lp,total_pax_rw_pc,total_atms_fw_tp,total_atms_fw_lp,total_atms_fw_pc,total_atms_rw_tp,total_atms_rw_lp,total_atms_rw_pc
06/03/2014 16:06,2013,2012,1,1,London Area Airports,GATWICK,35444206,34235982,3.529105663,0,0,,244301,240447,1.602848053,0,0,1.602848053
06/03/2014 16:06,2013,2012,1,1,London Area Airports,HEATHROW,72367054,70037417,3.326274872,0,0,,469565,471382,-0.385462314,0,0,-0.385462314
06/03/2014 16:06,2013,2012,1,1,London Area Airports,LONDON CITY,3379753,3016664,12.03610992,0,0,,68118,64310,5.921318531,0,0,5.921318531
06/03/2014 16:06,2013,2012,1,1,London Area Airports,LUTON,9697944,9617697,0.834368169,0,0,,70889,71725,-1.165562868,0,0,-1.165562868
06/03/2014 16:06,2013,2012,1,1,London Area Airports,SOUTHEND,969912,617027,57.19117737,0,0,,9475,7268,30.36598778,0,0,30.36598778
06/03/2014 16:06,2013,2012,1,1,London Area Airports,STANSTED,17852393,17472699,2.173070192,0,0,,131925,131297,0.478304923,0,0,0.478304923
06/03/2014 16:06,2013,2012,1,3,Other UK Airports,ABERDEEN,2933400,2817287,4.121447563,507365,512839,-1.067391515,61664,62006,-0.551559508,38229,36777,-0.551559508
06/03/2014 16:06,2013,2012,1,3,Other UK Airports,BARRA,9410,11415,-17.56460762,0,0,,880,1254,-29.82456207,0,0,-29.82456207
06/03/2014 16:06,2013,2012,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),2541759,2246202,13.15807724,0,0,,36866,35921,2.630773067,0,0,2.630773067
06/03/2014 16:06,2013,2012,1,3,Other UK Airports,BELFAST INTERNATIONAL,4023336,4313685,-6.730880737,0,0,,36596,39120,-6.451942921,0,0,-6.451942921
06/03/2014 16:06,2013,2012,1,3,Other UK Airports,BENBECULA,30738,31364,-1.99591887,0,0,,1887,2420,-22.02479362,0,0,-22.02479362
06/03/2014 16:06,2013,2012,1,3,Other UK Airports,BIGGIN HILL,326,0,,0,0,,8,0,,0,0,
06/03/2014 16:06,2013,2012,1,3,Other UK Airports,BIRMINGHAM,9120201,8922539,2.21531105,0,0,,84851,84062,0.93859297,0,0,0.93859297
06/03/2014 16:06,2013,2012,1,3,Other UK Airports,BLACKPOOL,237611,213577,11.25308418,25019,21661,15.50251579,3908,4005,-2.421972513,6374,5602,-2.421972513
06/03/2014 16:06,2013,2012,1,3,Other UK Airports,BOURNEMOUTH,660272,692545,-4.660058022,0,0,,6824,7182,-4.98468399,0,0,-4.98468399
06/03/2014 16:06,2013,2012,1,3,Other UK Airports,BRISTOL,6131896,5921530,3.552561522,0,0,,53966,50654,6.538476944,0,0,6.538476944
06/03/2014 16:06,2013,2012,1,3,Other UK Airports,CAMBRIDGE,9307,2130,336.9483643,0,0,,763,63,1111.111084,0,0,1111.111084
06/03/2014 16:06,2013,2012,1,3,Other UK Airports,CAMPBELTOWN,9550,9144,4.440070152,0,0,,1022,953,7.24029398,0,0,7.24029398
06/03/2014 16:06,2013,2012,1,3,Other UK Airports,CARDIFF WALES,1072062,1028123,4.273710251,0,0,,14024,13965,0.422484785,0,0,0.422484785
06/03/2014 16:06,2013,2012,1,3,Other UK Airports,CITY OF DERRY (EGLINTON),384973,398209,-3.32388258,0,0,,3011,3114,-3.307642937,0,0,-3.307642937
06/03/2014 16:06,2013,2012,1,3,Other UK Airports,COVENTRY,0,0,,0,0,,604,738,-18.15718079,0,0,-18.15718079
06/03/2014 16:06,2013,2012,1,3,Other UK Airports,DONCASTER SHEFFIELD,690351,693661,-0.477178335,0,0,,4291,4379,-2.009591341,0,0,-2.009591341
06/03/2014 16:06,2013,2012,1,3,Other UK Airports,DUNDEE,27595,54655,-49.51056671,0,0,,1357,2706,-49.85218048,0,0,-49.85218048
06/03/2014 16:06,2013,2012,1,3,Other UK Airports,DURHAM TEES VALLEY,161092,166251,-3.103139162,0,0,,4327,4202,2.974773884,0,0,2.974773884
06/03/2014 16:06,2013,2012,1,3,Other UK Airports,EAST MIDLANDS INTERNATIONAL,4334117,4076178,6.327961922,0,0,,57043,54643,4.392145157,0,0,4.392145157
06/03/2014 16:06,2013,2012,1,3,Other UK Airports,EDINBURGH,9775443,9195061,6.311888695,0,0,,103828,102884,0.917538226,0,0,0.917538226
06/03/2014 16:06,2013,2012,1,3,Other UK Airports,EXETER,741465,701740,5.660928726,0,3,,12511,12078,3.585030556,0,2,3.585030556
06/03/2014 16:06,2013,2012,1,3,Other UK Airports,GLASGOW,7363753,7157859,2.876474619,11,0,,72505,72287,0.301575661,1,0,0.301575661
06/03/2014 16:06,2013,2012,1,3,Other UK Airports,GLOUCESTERSHIRE,14168,15292,-7.350248337,0,0,,1256,1402,-10.41369438,0,0,-10.41369438
06/03/2014 16:06,2013,2012,1,3,Other UK Airports,HUMBERSIDE,185555,181907,2.005420446,50528,52235,-3.267923832,4420,4344,1.749539614,7252,8174,1.749539614
06/03/2014 16:06,2013,2012,1,3,Other UK Airports,INVERNESS,607903,603863,0.669025898,281,235,19.57446861,9992,10362,-3.570739269,19,15,-3.570739269
06/03/2014 16:06,2013,2012,1,3,Other UK Airports,ISLAY,26085,21609,20.71359062,0,0,,1558,1353,15.15151501,0,0,15.15151501
06/03/2014 16:06,2013,2012,1,3,Other UK Airports,KIRKWALL,158806,140464,13.05815029,519,219,136.9862976,10653,9676,10.09714794,133,52,10.09714794
06/03/2014 16:06,2013,2012,1,3,Other UK Airports,LEEDS BRADFORD,3318354,2990517,10.96255302,4,0,,30392,30223,0.559176803,1,0,0.559176803
06/03/2014 16:06,2013,2012,1,3,Other UK Airports,LERWICK (TINGWALL),3784,4930,-23.24543571,0,111,,1329,1496,-11.1631012,0,49,-11.1631012
06/03/2014 16:06,2013,2012,1,3,Other UK Airports,LIVERPOOL (JOHN LENNON),4187493,4463257,-6.178537369,0,0,,32947,35853,-8.105319023,0,0,-8.105319023
06/03/2014 16:06,2013,2012,1,3,Other UK Airports,LYDD,670,445,50.5617981,0,0,,127,97,30.92783546,0,0,30.92783546
06/03/2014 16:06,2013,2012,1,3,Other UK Airports,MANCHESTER,20751581,19736502,5.143155575,0,0,,161050,160473,0.359562039,0,0,0.359562039
06/03/2014 16:06,2013,2012,1,3,Other UK Airports,MANSTON (KENT INT),40391,8595,369.9360046,0,0,,1640,687,138.7190704,0,0,138.7190704
06/03/2014 16:06,2013,2012,1,3,Other UK Airports,NEWCASTLE,4420839,4366196,1.251501322,0,0,,42974,43660,-1.5712322,0,0,-1.5712322
06/03/2014 16:06,2013,2012,1,3,Other UK Airports,NEWQUAY,174891,166609,4.970920086,0,0,,4966,4747,4.613440037,0,0,4.613440037
06/03/2014 16:06,2013,2012,1,3,Other UK Airports,NORWICH,365283,348426,4.838043213,98118,48250,103.3533707,8157,8556,-4.663393974,13899,7359,-4.663393974
06/03/2014 16:06,2013,2012,1,3,Other UK Airports,OXFORD (KIDLINGTON),6847,7223,-5.205593109,0,0,,578,715,-19.16083908,1,0,-19.16083908
06/03/2014 16:06,2013,2012,1,3,Other UK Airports,PRESTWICK,1145836,1067933,7.294745922,0,0,,8606,8152,5.569185257,0,0,5.569185257
06/03/2014 16:06,2013,2012,1,3,Other UK Airports,SCATSTA,161102,164809,-2.249270439,137206,139671,-1.764861703,4772,5018,-4.902351379,8402,8608,-4.902351379
06/03/2014 16:06,2013,2012,1,3,Other UK Airports,SOUTHAMPTON,1722758,1694120,1.690435171,0,0,,36056,38639,-6.684955597,0,0,-6.684955597
06/03/2014 16:06,2013,2012,1,3,Other UK Airports,STORNOWAY,122410,119411,2.511493921,0,0,,6340,6446,-1.644430637,0,0,-1.644430637
06/03/2014 16:06,2013,2012,1,3,Other UK Airports,SUMBURGH,196756,144836,35.84744263,15477,5731,170.0575867,7875,6459,21.92289734,1322,613,21.92289734
06/03/2014 16:06,2013,2012,1,3,Other UK Airports,TIREE,8560,7545,13.45261765,0,0,,985,885,11.29943466,0,0,11.29943466
06/03/2014 16:06,2013,2012,1,3,Other UK Airports,WICK JOHN O GROATS,24593,23458,4.838434696,9046,1518,495.9156799,1996,1934,3.205790997,1341,218,3.205790997
06/03/2014 16:06,2013,2012,2,4,Non UK Reporting Airports,ALDERNEY,62855,64165,-2.041611433,0,0,,6379,6652,-4.104028702,0,0,-4.104028702
06/03/2014 16:06,2013,2012,2,4,Non UK Reporting Airports,GUERNSEY,886396,890746,-0.488354713,0,0,,32982,33957,-2.871278286,0,0,-2.871278286
06/03/2014 16:06,2013,2012,2,4,Non UK Reporting Airports,ISLE OF MAN,739683,697123,6.105092049,0,0,,20372,22995,-11.40682793,0,0,-11.40682793
06/03/2014 16:06,2013,2012,2,4,Non UK Reporting Airports,JERSEY,1453863,1468333,-0.985471308,0,0,,34299,36931,-7.126803875,0,0,-7.126803875
