rundate,this_period,last_period,airport_cluster,rpt_apt_grp_cd,rpt_apt_grp_name,rpt_apt_name,total_pax_fw_tp,total_pax_fw_lp,total_pax_fw_pc,total_pax_rw_tp,total_pax_rw_lp,total_pax_rw_pc,total_atms_fw_tp,total_atms_fw_lp,total_atms_fw_pc,total_atms_rw_tp,total_atms_rw_lp,total_atms_rw_pc
26/05/2015 15:09,2014,2013,1,1,London Area Airports,GATWICK,38103667,35444206,7.503232002,0,0,,254540,244301,4.191141129,0,0,4.191141129
26/05/2015 15:09,2014,2013,1,1,London Area Airports,HEATHROW,73405330,72367054,1.434735775,0,0,,470708,469565,0.243416786,0,0,0.243416786
26/05/2015 15:09,2014,2013,1,1,London Area Airports,LONDON CITY,3647824,3379753,7.93167448,0,0,,70133,68118,2.958102226,0,0,2.958102226
26/05/2015 15:09,2014,2013,1,1,London Area Airports,LUTON,10484938,9697944,8.115059853,0,0,,75616,70889,6.668171406,0,0,6.668171406
26/05/2015 15:09,2014,2013,1,1,London Area Airports,SOUTHEND,1102358,969912,13.65546608,0,0,,11541,9475,21.80474854,0,0,21.80474854
26/05/2015 15:09,2014,2013,1,1,London Area Airports,STANSTED,19965093,17852393,11.83426762,0,0,,143230,131925,8.569262505,0,0,8.569262505
26/05/2015 15:09,2014,2013,1,3,Other UK Airports,ABERDEEN,3158732,2933252,7.687031269,564930,507365,11.34587479,64059,61658,3.89406085,42084,38229,3.89406085
26/05/2015 15:09,2014,2013,1,3,Other UK Airports,BARRA,10521,9410,11.80658913,0,0,,882,880,0.227272734,0,0,0.227272734
26/05/2015 15:09,2014,2013,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),2555145,2541740,0.527394593,0,0,,36052,36865,-2.205343723,0,0,-2.205343723
26/05/2015 15:09,2014,2013,1,3,Other UK Airports,BELFAST INTERNATIONAL,4033954,4023336,0.263910353,0,0,,34795,36596,-4.921302795,0,0,-4.921302795
26/05/2015 15:09,2014,2013,1,3,Other UK Airports,BENBECULA,31213,30738,1.545318484,0,0,,1681,1887,-10.91679955,0,0,-10.91679955
26/05/2015 15:09,2014,2013,1,3,Other UK Airports,BIGGIN HILL,497,326,52.45398712,0,0,,34,8,325,0,0,325
26/05/2015 15:09,2014,2013,1,3,Other UK Airports,BIRMINGHAM,9705955,9120201,6.422599792,0,0,,89056,84851,4.955746174,0,0,4.955746174
26/05/2015 15:09,2014,2013,1,3,Other UK Airports,BLACKPOOL,204022,237611,-14.13613033,19976,25019,-20.15668106,3025,3908,-22.59467697,5206,6374,-22.59467697
26/05/2015 15:09,2014,2013,1,3,Other UK Airports,BOURNEMOUTH,661584,660272,0.198705986,0,0,,6714,6824,-1.611957788,0,0,-1.611957788
26/05/2015 15:09,2014,2013,1,3,Other UK Airports,BRISTOL,6339805,6131896,3.390615225,0,0,,52574,53966,-2.579401731,0,0,-2.579401731
26/05/2015 15:09,2014,2013,1,3,Other UK Airports,CAMBRIDGE,20663,9307,122.015686,0,0,,1479,763,93.84010315,0,0,93.84010315
26/05/2015 15:09,2014,2013,1,3,Other UK Airports,CAMPBELTOWN,9365,9550,-1.937172771,0,0,,1035,1022,1.272015691,0,0,1.272015691
26/05/2015 15:09,2014,2013,1,3,Other UK Airports,CARDIFF WALES,1023932,1072062,-4.489479065,0,0,,14228,14024,1.45464921,0,0,1.45464921
26/05/2015 15:09,2014,2013,1,3,Other UK Airports,CITY OF DERRY (EGLINTON),350257,384973,-9.017775536,0,0,,2537,3011,-15.7422781,0,0,-15.7422781
